Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Столкновение,Crash,2004,112,США,триллер,Пол Хаггис,7.8,https://www.kinopoisk.ru/film/61297/
Горбатая гора,Brokeback Mountain,2005,134,США,вестерн,Энг Ли,7.6,https://www.kinopoisk.ru/film/77647/
Мюнхен,Munich,2005,164,США,триллер,Стивен Спилберг,7.4,https://www.kinopoisk.ru/film/81287/
Капоте,Capote,2005,114,США,биография,Беннетт Миллер,7.0,https://www.kinopoisk.ru/film/48422/
Доброй ночи и удачи,"Good Night, and Good Luck.",2005,93,США,драма,Джордж Клуни,7.0,https://www.kinopoisk.ru/film/86991/
Малышка на миллион,Million Dollar Baby,2004,132,США,драма,Клинт Иствуд,8.1,https://www.kinopoisk.ru/film/81297/
Рэй,Ray,2004,152,США,драма,Тейлор Хэкфорд,8.1,https://www.kinopoisk.ru/film/5319/
Волшебная страна,Finding Neverland,2004,97,США,драма,Марк Форстер,7.9,https://www.kinopoisk.ru/film/4511/
Авиатор,The Aviator,2004,163,США,драма,Мартин Скорсезе,7.6,https://www.kinopoisk.ru/film/6374/
На обочине,Sideways,2004,127,США,драма,Александр Пэйн,7.0,https://www.kinopoisk.ru/film/61274/
Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,201,Новая Зеландия,фэнтези,Питер Джексон,8.7,https://www.kinopoisk.ru/film/3498/
Фаворит,Seabiscuit,2003,140,США,драма,Гэри Росс,7.8,https://www.kinopoisk.ru/film/2976/
Таинственная река,Mystic River,2003,138,США,триллер,Клинт Иствуд,7.8,https://www.kinopoisk.ru/film/3730/
Хозяин морей: На краю Земли,Master and Commander: The Far Side of the World,2003,138,США,боевик,Питер Уир,7.6,https://www.kinopoisk.ru/film/5565/
Трудности перевода,Lost in Translation,2003,102,США,драма,София Коппола,7.2,https://www.kinopoisk.ru/film/5930/
Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,2002,179,Новая Зеландия,фэнтези,Питер Джексон,8.6,https://www.kinopoisk.ru/film/312/
Пианист,The Pianist,2002,149,Франция,драма,Роман Полански,8.5,https://www.kinopoisk.ru/film/355/
Банды Нью-Йорка,Gangs of New York,2002,167,США,драма,Мартин Скорсезе,7.7,https://www.kinopoisk.ru/film/678/
Чикаго,Chicago,2002,113,США,мюзикл,Роб Маршалл,7.7,https://www.kinopoisk.ru/film/634/
Часы,The Hours,2002,110,США,драма,Стивен Долдри,7.6,https://www.kinopoisk.ru/film/702/
